"gene_id","hugo_symbol","entrez_gene_id","mean_classical_expression","mean_proneural_expression","classical_sample_count","proneural_sample_count","log2_fold_change","expression_direction"
"2342","FAP","2191","199.51282051","84.65517241","39","29","1.227082210283309","Higher in Classical"
"3512","KIAA1211L","343990","959.84615385","409.93103448","39","29","1.2254091616222373","Higher in Classical"
"3216","IL1RN","3557","86.97435897","204.55172414","39","29","-1.2243464712350123","Higher in Proneural"
"3744","LBP","3929","32.64102564","77.27586207","39","29","-1.2183458013566888","Higher in Proneural"
"7003","TACC3","10460","5448.25641026","2342.79310345","39","29","1.2172141547597015","Higher in Classical"
"5895","RBPJL","11317","0.87179487","3.34482759","39","29","-1.2148765909965447","Higher in Proneural"
"1121","CD207","50489","10.48717949","25.65517241","39","29","-1.2143909050436732","Higher in Proneural"
"7462","TRIM71","131405","5.33333333","13.68965517","39","29","-1.2137636128966731","Higher in Proneural"
"5728","PTGS1","5742","2766.76923077","1193.55172414","39","29","1.2122543360146842","Higher in Classical"
"2946","HEATR4","399671","13.27205128","5.18862069","39","29","1.2055028992471368","Higher in Classical"
"3117","HUNK","30811","305.41025641","703.48275862","39","29","-1.2010998096008554","Higher in Proneural"
"7880","XIRP2","129446","12.38461538","4.82758621","39","29","1.1996053352873446","Higher in Classical"
"7242","TMCO4","255104","684.00000000","297.34482759","39","29","1.199123222995448","Higher in Classical"
"1968","DSP","1832","220.51282051","95.68965517","39","29","1.1959567510663622","Higher in Classical"
"5140","PAX5","5079","1.64102564","5.03448276","39","29","-1.1921318092727564","Higher in Proneural"
"1550","CRHR2","1395","1.20512821","4.03448276","39","29","-1.1909810251193724","Higher in Proneural"
"1866","DMBX1","127343","24.25641026","56.58620690","39","29","-1.1890736966342426","Higher in Proneural"
"5117","PAPPA","5069","83.53846154","36.10344828","39","29","1.1880545852443913","Higher in Classical"
"6962","SVOPL","136306","12.17948718","4.79310345","39","29","1.1858859023072326","Higher in Classical"
